iter	RMSE
0	25.17131179
1	25.05154394
2	24.937452
3	24.82326278
4	24.70930667
5	24.59938538
6	24.48649825
7	24.37833567
8	24.27251953
9	24.16722598
10	24.06205244
11	23.9577925
12	23.85430888
13	23.75813406
14	23.65762864
15	23.55993137
16	23.4620488
17	23.37226322
18	23.28048332
19	23.18468064
20	23.09491415
21	23.00465359
22	22.91786799
23	22.82979905
24	22.74453154
25	22.66688744
26	22.58858619
27	22.49940367
28	22.42273164
29	22.34483883
30	22.26895719
31	22.1930339
32	22.11703139
33	22.03962431
34	21.96671536
35	21.89308147
36	21.81950622
37	21.75197726
38	21.68499612
39	21.61338256
40	21.54559443
41	21.48128599
42	21.41614637
43	21.3495031
44	21.28745
45	21.22678233
46	21.16365401
47	21.10028069
48	21.03820467
49	20.97504388
50	20.91625716
51	20.85945644
52	20.79895188
53	20.74194268
54	20.68445394
55	20.63234376
56	20.57972319
57	20.52990136
58	20.47752565
59	20.42625703
60	20.36270415
61	20.30935163
62	20.2518882
63	20.19338785
64	20.14769736
65	20.0990759
66	20.05419725
67	19.99680959
68	19.95099114
69	19.90609788
70	19.85785042
71	19.81532666
72	19.77061079
73	19.73008106
74	19.68358514
75	19.64459024
76	19.60270503
77	19.55617877
78	19.51269974
79	19.47553475
80	19.4318961
81	19.39205557
82	19.35638809
83	19.31309404
84	19.27088763
85	19.22929387
86	19.18558995
87	19.14621301
88	19.10462863
89	19.07263485
90	19.04099943
91	19.00687401
92	18.94563956
93	18.90674651
94	18.8670474
95	18.82987933
96	18.79772214
97	18.76256267
98	18.73174557
99	18.70185635
100	18.66845722
101	18.64211167
102	18.60542615
103	18.5683667
104	18.53345667
105	18.49829858
106	18.46155679
107	18.42767504
108	18.40098484
109	18.37466303
110	18.34321646
111	18.30780371
112	18.27562664
113	18.25322375
114	18.22115798
115	18.19350527
116	18.16940402
117	18.13974299
118	18.11590094
119	18.08494456
120	18.0397138
121	18.01406545
122	17.98688158
123	17.95918015
124	17.92899244
125	17.90755107
126	17.87973922
127	17.85547475
128	17.83221102
129	17.80532439
130	17.78004905
131	17.75551769
132	17.73131577
133	17.70994756
134	17.68871075
135	17.66519325
136	17.64032309
137	17.61745389
138	17.59259037
139	17.57277573
140	17.54980048
141	17.53361787
142	17.51299706
143	17.4889461
144	17.46928124
145	17.45250028
146	17.43293563
147	17.40833574
148	17.38986186
149	17.37178016
150	17.35519548
151	17.33273406
152	17.31071512
153	17.29459618
154	17.27607572
155	17.25084299
156	17.23727416
157	17.21861914
158	17.20210133
159	17.18180434
160	17.16519742
161	17.14944589
162	17.13231256
163	17.1138876
164	17.0942956
165	17.07989384
166	17.06707122
167	17.05191975
168	17.03416028
169	17.01604259
170	16.99714827
171	16.9838649
172	16.97207017
173	16.95268128
174	16.93551433
175	16.92053455
176	16.90466589
177	16.89278178
178	16.87636132
179	16.85931046
180	16.84278624
181	16.82570216
182	16.81055068
183	16.78654832
184	16.77098544
185	16.75746887
186	16.74763026
187	16.73175346
188	16.71153373
189	16.69691412
190	16.66886087
191	16.65380806
192	16.64389657
193	16.62900098
194	16.61391776
195	16.58957635
196	16.57552469
197	16.55952916
198	16.5437723
199	16.52029694
200	16.4741734
201	16.45984058
202	16.44881846
203	16.4324475
204	16.41926307
205	16.40577233
206	16.39230616
207	16.3816246
208	16.36824184
209	16.35442041
210	16.33840672
211	16.31034793
212	16.29677459
213	16.26196519
214	16.25043164
215	16.23877031
216	16.22447764
217	16.2131862
218	16.20366644
219	16.1924718
220	16.18099158
221	16.16537307
222	16.15165249
223	16.1355779
224	16.12468353
225	16.11646811
226	16.10073855
227	16.09026798
228	16.0797818
229	16.06825606
230	16.05652474
231	16.043478
232	16.02547664
233	16.01486441
234	15.99878001
235	15.96247622
236	15.95173353
237	15.94369828
238	15.93721466
239	15.92660562
240	15.91729392
241	15.8956149
242	15.86417471
243	15.84849701
244	15.81215395
245	15.79902559
246	15.78878243
247	15.77365369
248	15.73191679
249	15.71719541
250	15.70484032
251	15.69440216
252	15.68263383
253	15.67077523
254	15.66292418
255	15.64642351
256	15.6323764
257	15.61681138
258	15.6025625
259	15.59639923
260	15.58033437
261	15.56491851
262	15.55652304
263	15.54987813
264	15.5384551
265	15.49415247
266	15.47859654
267	15.47185742
268	15.46604507
269	15.45939016
270	15.44290731
271	15.43352816
272	15.41986888
273	15.41289926
274	15.39879164
275	15.39040246
276	15.37583131
277	15.36770037
278	15.36153196
279	15.34566841
280	15.33303118
281	15.3230732
282	15.31434283
283	15.30794722
284	15.29181245
285	15.28348164
286	15.2716356
287	15.25683102
288	15.23705829
289	15.21913713
290	15.21052881
291	15.20338066
292	15.1972868
293	15.18599303
294	15.17350434
295	15.1628512
296	15.11412631
297	15.06578852
298	15.03820647
299	15.02708225
300	15.01561269
301	15.00952535
302	14.99799893
303	14.95097519
304	14.90566251
305	14.88993909
306	14.88215052
307	14.85557085
308	14.84906453
309	14.81765049
310	14.80469621
311	14.7913169
312	14.77836574
313	14.76967373
314	14.76260748
315	14.75615184
316	14.73594268
317	14.72423804
318	14.71992397
319	14.71205125
320	14.69831328
321	14.68303028
322	14.67862681
323	14.63094477
324	14.62785643
325	14.61549408
326	14.60789374
327	14.59719558
328	14.58822402
329	14.58170088
330	14.55577375
331	14.53334788
332	14.52637632
333	14.48905521
334	14.45977174
335	14.4392648
336	14.43244945
337	14.42457483
338	14.41704229
339	14.38544152
340	14.35954905
341	14.32354894
342	14.2978877
343	14.28573096
344	14.27303825
345	14.25603289
346	14.25055178
347	14.24456478
348	14.23383117
349	14.20019995
350	14.19013216
351	14.17485808
352	14.169874
353	14.15921412
354	14.14992055
355	14.14502125
356	14.13483195
357	14.128993
358	14.11875188
359	14.10768166
360	14.08496112
361	14.06601986
362	14.04758208
363	14.04301534
364	14.0363859
365	14.02154847
366	13.99443408
367	13.97143284
368	13.95136932
369	13.94127525
370	13.93130285
371	13.90968513
372	13.90045408
373	13.89351895
374	13.88387964
375	13.87540721
376	13.86453977
377	13.84741002
378	13.84206008
379	13.83618029
380	13.83076914
381	13.80062435
