iter	RMSE
382	13.7957425
383	13.78681887
384	13.78138088
385	13.77226032
386	13.76426339
387	13.73133962
388	13.72403216
389	13.70779018
390	13.69877665
391	13.69244821
392	13.68470455
393	13.68058162
394	13.64656214
395	13.61612137
396	13.61048951
397	13.60588357
398	13.59148635
399	13.58582172
400	13.55191391
401	13.52665175
402	13.51271542
403	13.50015519
404	13.48577306
405	13.4760603
406	13.46586137
407	13.45390301
408	13.44566166
409	13.43434582
410	13.42503394
411	13.41845815
412	13.41265663
413	13.40618007
414	13.40029782
415	13.3962373
416	13.37345541
417	13.36879923
418	13.36037404
419	13.34041671
420	13.33386474
421	13.32976975
422	13.30248207
423	13.29814846
424	13.29045099
425	13.28362621
426	13.27882266
427	13.27366179
428	13.26682734
429	13.25875174
430	13.25047316
